"step","type","amount","name_orig","oldbalance_org","newbalance_orig","name_dest","oldbalance_dest","newbalance_dest","is_fraud","Class","type_numeric"
400,"CASH_OUT",43032.91,"C1790047949",35724,0,"C1872655682",45752.61,88785.52,"0","0",2
355,"CASH_OUT",134787.68,"C582123906",73653,0,"C553193428",799394.23,934181.9,"0","0",2
621,"CASH_OUT",206500.15,"C1384023854",0,0,"C354997545",1534560.2,1741060.35,"0","0",2
283,"TRANSFER",250386.79,"C302013080",0,0,"C944748880",539027.81,789414.59,"0","0",1
131,"CASH_OUT",396982.7,"C837351223",26505,0,"C241060223",0,396982.7,"0","0",2
20,"CASH_OUT",129639.25,"C865126716",198,0,"C1911470644",0,129639.25,"0","0",2
286,"TRANSFER",1319858.46,"C1062789478",0,0,"C2040329005",2222832.55,3542691.01,"0","0",1
236,"CASH_OUT",174587.22,"C518552672",740346,565758.78,"C2012303052",48744.06,223331.29,"0","0",2
305,"CASH_OUT",29910.01,"C1362872104",0,0,"C411846561",2175495.64,2205405.65,"0","0",2
20,"CASH_OUT",27625.24,"C2077384014",215180.02,187554.77,"C788026681",3252234.23,3279859.47,"0","0",2
183,"CASH_OUT",143050.05,"C2117158634",6407.46,0,"C1781694269",561723.63,704773.68,"0","0",2
325,"CASH_OUT",204794.08,"C1891675807",0,0,"C2010328747",275886.28,480680.36,"0","0",2
283,"CASH_OUT",15426.17,"C371520463",0,0,"C403750203",131042.86,146469.03,"0","0",2
331,"CASH_OUT",384943.01,"C390432904",19593,0,"C738246139",5677189.72,6062132.73,"0","0",2
156,"CASH_OUT",276380.13,"C470110093",0,0,"C147916733",8610798.18,8887178.31,"0","0",2
183,"TRANSFER",901761.51,"C1381656224",29915,0,"C2049574052",363796.33,1265557.84,"0","0",1
302,"CASH_OUT",132173.35,"C43238683",0,0,"C919306039",2752418.05,3171910.11,"0","0",2
38,"TRANSFER",142413.35,"C1488976245",0,0,"C783244692",513827.42,656240.77,"0","0",1
211,"CASH_OUT",153470.75,"C900196735",9341.07,0,"C57640558",280941.44,434412.19,"0","0",2
260,"TRANSFER",16574.74,"C1904932685",718642,702067.26,"C1305159842",0,16574.74,"0","0",1
234,"CASH_OUT",138863.09,"C1836572951",0,0,"C1573639036",263972.04,402835.14,"0","0",2
500,"CASH_OUT",53126.78,"C521712200",103232,50105.22,"C1781609327",14300.32,67427.11,"0","0",2
